address,allocation
0xCebceD68691D18E113B10A2C8130711b97CD86Df,7680000
,0
,0
,0
,0
,0
,0
0x5961dF05D793a7A87430B572521Dba51c859191E,1200000
,0
,0
,0
,0
,0
,0
0x66d928b496C729AEaC569189a21967cE064acC4e,2880000
,0
0x09FF99dE4f09175f7DaF6B5Ef748B1C818B0181F,2409600
,0
0x39Da09194E41d34403032e4EC8D0Eb061a387eB6,1350000
,0
,0
0xdAA01627528c0Add89d622c6434F2D3Af91C67FD,780000
,0
,1440000
,0
0x7B44d1D9D74F7b3f78418bf57Fcd366A43F624C6,184800
0x6D0277Da89960f6042e48901adaa2481F6e7c258,816000
,0
,0
,0
0x3C7D76e65A35821351912A97967565095bF32cA0,345600
0xD38cDAcD892FcD3369C69b42Fa20B171DFE72894,297600
,0
0xe913f245935f27a7fbcacee8a45db99793eeb2a3,240000
,0
,0
,0
,0
,0
,0
,0
0x806877dB861F2fc7a45F67b13f4c778493Eb3Fa2,720000
,0
,0
0x229F1bee5aD4ff92e917AE7b9d72D817CC3A08a6,1620000
0x7D8Ae1e62Fe8aAFCB15d8f96564070A6A8fFa9c7,99468
,0
,0
,0
,0
,0
,0
,0
,0
0x70b8fa5Fac923E30f4dC730d2804139D80F362a4,201600
,0
,0
,0
0x3961bf58f5fee75f6b736307362bdaadcfb2d30d,216000
0x68CAAAB1A90140DAd032975Df6291b85f3B47022,162000
,0
0x48F5537EF07CeF94769cd699e8748265BE9102cb,720000
0xe37f5FDc6EC97D2F866a1cfD0D3A4Da4387b22B5,360000
,0
,0
,0
,0
,0
0xb568cf7d336bB61eD14Daa9676D62DE48A47D162,45000
,0
,0
,0
,0
,0
0x3fbbbfa1002EFBe04f0c4A04CecAb565bc55756e,1545120
,0
0xEb316CDb9F175320D1C62bA0551d1159331c2e56,61200
,0
0x9b523aeb7049a2fe13d86463b7322b6ab4944772,216000
,0
,0
,0
,0
0xDb5bc96382EF39bAAe972410280A5abD4C6aAAFC,360000
,0
,0
0xa88163a3808cf5107f7E1677659a04535255e8B0,385848
0x6019dba2406a9bdda24174124097f4d0ec1a0388,360000
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
0x9D72bE0a10923304196Fa4ddE2c4aC4e2df09Eaf,540000
0x4222cb368D04Ba60c9C18ae80812566a99719794,580500
0x94E1A80A8B0201506DFac8EE41C3e296B2065358,659268
,0
,
,0
,0
,0
,0
,0
,0
,
,
,
