address,allocation,other,desc
0x5ff298BCAA3711203bbdcab07CE2270dcD1D0051,1500000,,
,900000,,
,770000,,
,850000,,
,800000,,
,700000,,
,560000,,
0x416ACB1630149bEC5309A7Ca4fAD7Fb859CCD076,550000,,
0xb89482C1890b57B4074b5a4e5284a2a2a385eA35,450000,,
0x8dCd6294cE580bc6D17304a0a5023289dffED7d6,400000,,
,400000,,
0x33Cc2d43461c334FC171972cA5bC71674eE7DD88,400000,,
,300000,,
0xeeE416A3e340b3F07CC471a6a3568ED95c7d5591,300000,,
,300000,,
,260000,,
,260000,,
0x9D10E061Dcef7b6Bb2e410645FCB8251EF10572B,260000,,
0x806146f2241A9e5663DC17C73C20d64F835Ed764,250000,,
,170000,,
0xd56A9Ac0a343eb0D2Ff502aDe743755534427cA4,160000,,
0x802CB4ba6535B10655cC21B9C17Ad27e619bA556,105000,,
0x8CFBAB51Ad97aC72b8e7c5d0C18865c143328326,105000,,
,105000,,
0xd59E1a0Cc0A61E2Ab7D8e29210a85f2feE72C24A,105000,,
0x7D843266918804836073bF44ad6193E677961D3B,105000,,
0x97FadbAa458E2BcaafE90f09E2637DefC318617B,105000,,
,100000,,
0x9BF29B0E5A7ed2D67fBa556d84c040a01528Bf27,100000,,
,65000,,
,75000,,
0x7f4D844fA169520D26F79AbF90D11E54077eFA4C,30000,,
0x8e2460c3CBF4Db87E02383036fA9005738C1b584,600000,,
0x805D3f049a0fB39cB2DeBf3BED8D3E2e8187A199,910000,,
0xea62c76302f6f6fd2e24b0aa5d1c2e52a407a999,560000,,
0xFF539B43D27d221e5a38704be647da0CC9aaf708,450000,,
0x30CE80ba52AB0623cB07c95384Ad9e7614E94214,275000,,
0x2f26D644F1cDAfBdba411C6E8ba8D736049Aa335,260000,,
0x4452d6454e777743a5Ee233fbe873055008fF528,300000,,
0xd15049043C2c2c0940B876568060FCDCe120CC8D,452000,,
0x043877f07ddb7fb97f0bb89b440cad8820210648,195000,,
0x0b0ee9808f5b77f7f7c567f7670328caaf6a48a9,195000,,
0x6474b1d9b8a6b596fEA80ab32b3545286931e4C1,170000,,
0x8c8f273ad1B1A0fdFD7BE138AD1a10aC886d7daa,175000,,
0x5A7E191227ce01aD591e021824D3b45F045606f3,160000,,
0x16ad4e68c2e1d312c01098d3e1cfc633b90dff46,160000,,
0xf8885f27cb54ff5562343e1f00d4dcc3ba8491d0,160000,,
0x22AAdFdCc28c567A452C08c1fb708cC5AF15E389,140000,,
0x4D87A79702DeF1D5f12dC1273E957Bc49050DCca,140000,,
0xD851cc6b87783bC10f8aC1F261d7AF28a4c92dc4,100000,,
0x9eDe9C3CBb5F18e1c0105FD664cEB4cCA058bc6E,100000,,
0xfAE09C15b101Dc1cB1f7936564f8b8b9BA9dD895,80000,,
0xaA98e2af598aC5EdAF35E1975e7dbBaBeD4F48e8,80000,,
0xa1ba691E3B567DbCAab7C428f4325C46239A1Cf7,65000,,
0x4f9a8A7F1eB3724073B976b950b1a33B0c7Cc20a,65000,,
0x6f59aeC7C9a55102720e1824Ef0D1C74a67301c3,65000,,
0xf190f0193b694d9d2bb865a66f0c17cbd8280c71,60000,,
0x99f0C984129978E73c504A09040c1Cdfc1E3FA71,60000,,
0x99024337b64C07c891Ab7C14F5f06152f3D3f3E3,100000,,
0x3a8Cc81D631E043b373213788b69914c5d9A0628,60000,,
0x25bd301fcE5635f258d1d6dd82782d1a067D475b,60000,,
0xFd1faa931aCcA8C0b5d3763d6cC384C45C3d90c4,60000,,
0xcdAA0072029E8c3e8C46c5Ed6c274cA6EA335a28,45000,,
0x8FF00D5380aC6C4dA4f855059BE6E78F7a218F36,45000,,
0x6309e6e77FCc1194665dbE78DcfFf8A2405c2b44,40000,,
0xc5db100ffaeb77ffcf8faad1c6272f029fd068da,30000,,
0x14484eEf6814cA1439f384FbaEFEfFddEF765889,30000,,
0x83a7D0acad1e10f46C28Df275132e1d4A77Ce9E9,30000,,
0xeD2b23e0a0b5ec86f6FE6707E56d6f91cBcD5372,30000,,
0x7cEADbc9626C6ebB52a7819E7B32A0df3C9FA303,30000,,
0xf883dBF84d34338AAe0117B3aE4C0A789B9d43DF,30000,,
0x37528eA49Bc9df9EC9469367A34050814831fa84,30000,,
0x83caD45eA2e81B2A55589c971d488D76d69e0C5F,15000,,
0xEf791fd8BBdbe5fb247f866D3A996654C0fe9B7E,15000,,
0x20211f84eF1df8627DB5b894352B66503d46Fa16,15000,,
0x9355fb6c20Ae95C1B5e22474B086DdD2b104787c,15000,,
0x99F6d390c99b10e95822df1A82D882be1EeA218a,52000,,
0x339BA83781959fc8FC868423e8Faab996D0AD6a8,80000,,
