address,allocation
0xa7B6fa30262Bc3bD4Ee17511Ab3FF972A87506Ab,5760000
,0
,0
,0
,0
,0
,0
0xC8f14FD56D1a8421E0b4510f88e55EDE2C9abcf3,900000
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
0x6d4C012A99e1a67C17f77E02A3E02ECB7e4a34B4,138600
,0
0x00761CcBa2A84A425BF677c377Abb479259aDDf3,285000
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
0x91889ba702313541B4Cb73De71b28D46bfA509B4,1215000
0x189FD55e9e120954CDBB4782c540b8f8bc456b8a,99468
,0
,0
,0
,0
,0
,0
,0
,0
0xf6c34c27d07b293113a6b2b35851546bc3b00445,151200
,0
,0
,0
,0
0xb231960a812384d063c48Ee2e801045fD0b87Cea,40500
,0
,0
,0
,0
,0
,0
,0
,0
0x5Cf5D304f63e2541d57ce7990538ce3f191eCB00,33750
0x1a2d24661c0c7ec8b636900ca5a57b9ae5ef761e,135810
,0
,0
,0
,0
0xC96D31a1f5fc1b372b15074710a66401238Bd305,595080
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,
,0
,0
,0
,0
,0
,0
,
,
,
